X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3049393,43.715988199999984,269,1470621,2006,D54,Stabbing,2006-11-05T05:00:00.000Z,43,Victoria Village (43),43.7159882,-79.3049393,469
-79.3049393,43.715988199999984,270,1470621,2006,D54,Stabbing,2006-11-05T05:00:00.000Z,43,Victoria Village (43),43.7159882,-79.3049393,470
-79.2286911,43.809391,271,1448992,2006,D42,Shooting,2006-11-14T05:00:00.000Z,132,Malvern (132),43.809391,-79.2286911,471
-79.4844818,43.649334,272,1945800,2006,D11,Other,2006-11-25T05:00:00.000Z,89,Runnymede-Bloor West Village (89),43.649334,-79.4844818,472
-79.3939285,43.6427383,273,1796411,2006,D14,Shooting,2006-12-03T05:00:00.000Z,77,Waterfront Communities-The Island (77),43.6427383,-79.3939285,473
-79.1971359,43.796772,274,1462848,2006,D42,Other,2006-12-03T05:00:00.000Z,131,Rouge (131),43.796772,-79.1971359,474
-79.3586884,43.6624184,275,1451923,2006,D51,Other,2006-12-20T05:00:00.000Z,72,Regent Park (72),43.6624184,-79.3586884,475
-79.4273758,43.638961799999983,276,1501929,2006,D14,Shooting,2006-12-25T05:00:00.000Z,85,South Parkdale (85),43.6389618,-79.4273758,476
-79.57347110000002,43.725753800000014,277,1490523,2006,D23,Stabbing,2006-12-26T05:00:00.000Z,4,Rexdale-Kipling (4),43.7257538,-79.5734711,477
-79.518821700000018,43.7619209,278,1932560,2006,D31,Shooting,2006-12-27T05:00:00.000Z,24,Black Creek (24),43.7619209,-79.5188217,478
-79.5601501,43.647399900000011,279,1904938,2006,D22,Other,2006-10-06T04:00:00.000Z,14,Islington-City Centre West (14),43.6473999,-79.5601501,479
-79.2282181,43.7999954,280,1875060,2007,D42,Shooting,2007-01-01T05:00:00.000Z,132,Malvern (132),43.7999954,-79.2282181,480
-79.3244934,43.712368,281,1763040,2007,D54,Shooting,2007-01-11T05:00:00.000Z,44,Flemingdon Park (44),43.712368,-79.3244934,481
-79.5153656,43.6998215,282,1441479,2007,D12,Other,2007-01-11T05:00:00.000Z,113,Weston (113),43.6998215,-79.5153656,482
-79.2683182,43.782032,283,1993783,2007,D42,Shooting,2007-01-14T05:00:00.000Z,128,Agincourt South-Malvern West (128),43.782032,-79.2683182,483
-79.4777756,43.6780205,284,1492036,2007,D12,Stabbing,2007-01-20T05:00:00.000Z,111,Rockcliffe-Smythe (111),43.6780205,-79.4777756,484
-79.2279053,43.722438800000013,285,1925141,2007,D43,Shooting,2007-02-04T05:00:00.000Z,123,Cliffcrest (123),43.7224388,-79.2279053,485
-79.5132065,43.7255173,286,1896894,2007,D31,Stabbing,2007-02-14T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7255173,-79.5132065,486
